ID,Course Title,Course Length,Description,Image URL
2012211,Cisco ACI - CCNP Data Center DCACI. Newest APIC version,COURSE • 11 hrs 15 mins,Welcome to Cisco ACI - Certified Network Professional (CCNP) Data Center DCACI.,https://img-c.udemycdn.com/course/480x270/5016712_0230_3.jpg?cp_oauth_jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwIjoidXJsIiwicmFuZCI6IjdlOWQ5YmMyZDQ1ODhjNWQ5YTk5N2RiYjViMDdjYTYyIiwidiI6IjEiLCJvcmlnaW5hbFVybEhhc2giOiIwZjBiYzMzNzIwZGVkZGUxN2U2MjM1M2U2NDAyOWQyOGFlMjdiYWYxIiwiZXhwIjoxNzA3NTgyMTc3LCJyaWQiOiI3NjUyMjM0IiwiaWF0IjoxNzA2OTc3Mzc3LCJjaWQiOiI1MjUifQ.MiALydVzXss9dTLHUW-KZIexiVftuQ08gQsyZK_ufFE
2012212,Microsoft Project 2021 for Beginners: Learn the Fundamentals,COURSE • 5 hrs 29 mins,**This course includes downloadable instructor files and exercise files to work with and follow along.**,https://img-c.udemycdn.com/course/480x270/4986344_8216.jpg?cp_oauth_jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwIjoidXJsIiwicmFuZCI6ImRkYjg5ZTk1ZjM1N2YwOWNlMTM5OTJhOGQwNzliYmZhIiwidiI6IjEiLCJvcmlnaW5hbFVybEhhc2giOiIzYmI1ZmZmOTU4ZWMwM2FlYjRhZmUxNjAzZDQwZGFiYWI5YjdlZGEyIiwiZXhwIjoxNzA3NTgyMTgwLCJyaWQiOiI3NjUyMjM0IiwiaWF0IjoxNzA2OTc3MzgwLCJjaWQiOiI1MjUifQ.1EXkW-u5YW5z44EUznboCiOnvrP3L1l1TY9dDspb-ps
2012213,Create an Event Booking Website with WordPress,COURSE • 4 hrs 8 mins,The open-source nature of WordPress allows developers to create plugins that can extend the core functionality of this already great tool.  On...,https://img-c.udemycdn.com/course/480x270/4944716_afd7.jpg?cp_oauth_jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwIjoidXJsIiwicmFuZCI6IjA0MjZlZGM1ODk5ZGM4NGJkY2I1MjJiZTk1Mzc4OTE5IiwidiI6IjEiLCJvcmlnaW5hbFVybEhhc2giOiI5MDkyOTVhYTNjN2Y5ZGM5OWU3NjNjN2NiZjJiYTA0N2MzZGQ5MTI2IiwiZXhwIjoxNzA3NTgyMTg0LCJyaWQiOiI3NjUyMjM0IiwiaWF0IjoxNzA2OTc3Mzg0LCJjaWQiOiI1MjUifQ.YV5N7EGgs1FYT9jiaKqWhsYUyuZjsroFjQsNF8KB9gU
2012214,"Talend Advanced for Big Data, Cloud and Database integration",COURSE • 8 hrs 1 min,You already know the basics of data integration and ETL. But that's not enough for you. Here's where you ...,https://img-c.udemycdn.com/course/480x270/4892506_79cf_5.jpg?cp_oauth_jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwIjoidXJsIiwicmFuZCI6IjBiYmFiOTNmNmU0YzRhMTVlMDVmOTMwYzU2Y2RhNzY3IiwidiI6IjEiLCJvcmlnaW5hbFVybEhhc2giOiJjZjY4ZTI3NDgzOWRhZjIzNjQ3MzU5NGFmNTZhMTU2MDlmZTY5NzJlIiwiZXhwIjoxNzA3NTgyMTg3LCJyaWQiOiI3NjUyMjM0IiwiaWF0IjoxNzA2OTc3Mzg3LCJjaWQiOiI1MjUifQ.M7wROUfc_N5WUCLY_NioYTncEyyXYfUxh7f84YKGBUw
2012215,QuickBooks™ Online Practice Set • Quincy Bookstore,COURSE • 4 hrs 55 mins,"Put your learning and skills to work using this one-of-a-kind, online video practice set.",https://img-c.udemycdn.com/course/480x270/4811522_e23c_7.jpg?cp_oauth_jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwIjoidXJsIiwicmFuZCI6ImJlM2Q5NDRlZWMyODU4ZjgzYzg3YzI1ZjE4M2VmODU1IiwidiI6IjEiLCJvcmlnaW5hbFVybEhhc2giOiIwOTZiMzU1MjhjMTE0ZDk3NWFlNTdhMGRmZmQxYWY3MTMyNjdiZmY1IiwiZXhwIjoxNzA3NTgyMTkwLCJyaWQiOiI3NjUyMjM0IiwiaWF0IjoxNzA2OTc3MzkwLCJjaWQiOiI1MjUifQ.4WH63pJESrYTsLT-JcxYdPOYjEJRvwwe8ry9CiZfwlk
2012216,Microsoft Office 2021/365 Essentials Bundle,COURSE • 49 hrs 22 mins,**This course includes downloadable course instructor files and exercise files to work with and follow along.**,https://img-c.udemycdn.com/course/480x270/4749318_9620_2.jpg?cp_oauth_jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwIjoidXJsIiwicmFuZCI6IjVkMWFhMTUyMzMzM2IwYWZkMWE1MGMwYjI4ODM0MzhiIiwidiI6IjEiLCJvcmlnaW5hbFVybEhhc2giOiI2NzU2ZmQ1MTYyZjMxN2I5ZTJjNGJkNGU1MGRhM2Q5YTM5ZDQwNGI3IiwiZXhwIjoxNzA3NTgyMTk1LCJyaWQiOiI3NjUyMjM0IiwiaWF0IjoxNzA2OTc3Mzk1LCJjaWQiOiI1MjUifQ.BMfrPAruZPTITnAi6_KGPyGkYghMSVb_aQ1aziLSQ_E
2012217,Learn Python Programming - Beginner to Master,COURSE • 56 hrs 49 mins,Learn Python Programming - course is curated for Beginner to Master.,https://img-c.udemycdn.com/course/480x270/4398404_2f8f_2.jpg?cp_oauth_jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwIjoidXJsIiwicmFuZCI6IjRjOTZmZTYyNjg0YTRlMDdjMDQ2NTU5MjUwZDUwOGUxIiwidiI6IjEiLCJvcmlnaW5hbFVybEhhc2giOiIwMDI1NzQ1ZDIzZWMxMDNlNzM2MzU3NzIzYmM3N2JiNzc1OGUyMGQwIiwiZXhwIjoxNzA3NTgyMTk5LCJyaWQiOiI3NjUyMjM0IiwiaWF0IjoxNzA2OTc3Mzk5LCJjaWQiOiI1MjUifQ.DLPlXaqNc1CpEtaMW6WRJMva-KKopydo068Xsq0q72Q
2012218,"Instagram clone with FastAPI, ReactJS and Android",COURSE • 8 hrs 15 mins,"This course will teach you how to build an Instagram like project from beginning to end. It will build your knowledge of full stack development, bo...",https://img-b.udemycdn.com/course/480x270/4323152_344f.jpg?cp_oauth_jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwIjoidXJsIiwicmFuZCI6IjczYTdkNWNhMGI0OTAyMGU1ZGE0ZjU3YzI3ZDA2NTc5IiwidiI6IjEiLCJvcmlnaW5hbFVybEhhc2giOiIxOWU3NjMxYTA2ZjRkZmJiMjk2N2VkOWEyZjgwZTQ1MTRjMWMwOThhIiwiZXhwIjoxNzA3NTgyMjAxLCJyaWQiOiI3NjUyMjM0IiwiaWF0IjoxNzA2OTc3NDAxLCJjaWQiOiI1MjUifQ.-mfkI4pKQpyYnXtKKgCZrBEhMfCkyaUEYmWiJXBNMaM
2012219,SEO Strategy 2024. SEO training to TOP rank your website!,COURSE • 8 hrs 33 mins,Become an expert in Search Engine Optimization and learn to use the best SEO tools!,https://img-c.udemycdn.com/course/480x270/4084798_d86f_8.jpg?cp_oauth_jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwIjoidXJsIiwicmFuZCI6IjMwZDhiNjI3YWQ3YjY2YmM2YjI1N2U4MzkxYmY3MDk4IiwidiI6IjEiLCJvcmlnaW5hbFVybEhhc2giOiJmZTk1ZmViZmZiMTBjOWE4YTFmMDI5MTY0YzBjZWJkNmQ5YTVmODQxIiwiZXhwIjoxNzA3NTgyMjAzLCJyaWQiOiI3NjUyMjM0IiwiaWF0IjoxNzA2OTc3NDAzLCJjaWQiOiI1MjUifQ.eeEpngmvF-7fR4M06A3qdtQwb-ZjsGFVKO9d6zqFJrU
2012220,The Git and GitHub for Beginners,COURSE • 1 hr 18 mins,This course is about basic features of the Git and GitHub.,https://img-c.udemycdn.com/course/480x270/3940728_749a_2.jpg?cp_oauth_jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwIjoidXJsIiwicmFuZCI6IjIzZjljMzAyNzE5ZWVlMzhiNWE2MTI5NGFjODNhZTNiIiwidiI6IjEiLCJvcmlnaW5hbFVybEhhc2giOiI5MDQ0MmU4ZTdlZTYxMTdkMzA1NzQ2YmZjMzI4MDYyOWNmYWQ3ZGE3IiwiZXhwIjoxNzA3NTgyMjA2LCJyaWQiOiI3NjUyMjM0IiwiaWF0IjoxNzA2OTc3NDA2LCJjaWQiOiI1MjUifQ.UU8jkiVSvXHZcm238RuzR7sGZczFKdH3shHY-hB6imI
2012221,Professional Scrum with Kanban (PSK I) Certification Prep,COURSE • 3 hrs 23 mins,Welcome to the course on Professional Scrum with Kanban (PSK I),https://img-c.udemycdn.com/course/480x270/3866668_061e_2.jpg?cp_oauth_jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwIjoidXJsIiwicmFuZCI6IjlkN2ZhYzdiMDM1ZGJkNDczOGM0OWU0YTQ4ZjVlZGY3IiwidiI6IjEiLCJvcmlnaW5hbFVybEhhc2giOiIyOGRhZTIyODc3MWY1Y2UyOTMzMjgxYWE4NGIwMzE3MzE3MWE1N2UxIiwiZXhwIjoxNzA3NTgyMjA4LCJyaWQiOiI3NjUyMjM0IiwiaWF0IjoxNzA2OTc3NDA4LCJjaWQiOiI1MjUifQ.gZETuHLqWl1WnMA4xxd8_FYABXbGAOMiH-QKSi3yc0E
2012222,Advanced Strategies to Secure Better UpWork Clients,COURSE • 2 hrs 36 mins,"You've probably been experiencing some success on Upwork. But, you're looking for more. Maybe you want to become a full-time UpWork freelancer or y...",https://img-c.udemycdn.com/course/480x270/3797780_45dd.jpg?cp_oauth_jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwIjoidXJsIiwicmFuZCI6ImQ5MGFlNTg5NjZjMDE3MmQxYTEwOTkyZTg3ZmZkYjFhIiwidiI6IjEiLCJvcmlnaW5hbFVybEhhc2giOiIwZTA4NjNjMWZlODQ1ZWZlNjkwMjgxMjYyZjc3YTgxNGJhOTkyZWYzIiwiZXhwIjoxNzA3NTgyMjEwLCJyaWQiOiI3NjUyMjM0IiwiaWF0IjoxNzA2OTc3NDEwLCJjaWQiOiI1MjUifQ.Q_ve017U2Kyx4hpSDsJWb2U8na6XPD9mzhyb2hv1WtQ
2012223,Video Marketing for Lead Generation & B2B sales on LinkedIn,COURSE • 2 hrs 33 mins,"If you are wondering how to create video marketing in 2021, or how to use video marketing for lead generation and B2C and B2B sales, then this cour...",https://img-c.udemycdn.com/course/480x270/3761344_cd2b.jpg?cp_oauth_jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwIjoidXJsIiwicmFuZCI6ImU4YWFjZWUzYWNiZGNiM2IwNGU5ZGE1YTI4ZDg1MDE2IiwidiI6IjEiLCJvcmlnaW5hbFVybEhhc2giOiJmYWNhMTFhYzlkMWZjMWJhMmFkMTYxYmJjMWM3YWM0NTE2Y2E0YzRmIiwiZXhwIjoxNzA3NTgyMjEzLCJyaWQiOiI3NjUyMjM0IiwiaWF0IjoxNzA2OTc3NDEzLCJjaWQiOiI1MjUifQ.tk3lRTh98TBSby2wHkkS5Y8VUm07rQyVqaWTnlQWF0M
2012224,Linux - The Complete Linux Guide,COURSE • 5 hrs 46 mins,This course is all about Linux and Linux Shell.,https://img-c.udemycdn.com/course/480x270/3327420_ff20_4.jpg?cp_oauth_jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwIjoidXJsIiwicmFuZCI6ImI1YmMwMzc4N2I2NzVmNDY1MDUwYjZlMTc2NWE3MGJiIiwidiI6IjEiLCJvcmlnaW5hbFVybEhhc2giOiJjODZiZGU2Njk0YjU4YjFmODJiMzQyZmY2YmU5MjE1ZjNkZTA1NzA2IiwiZXhwIjoxNzA3NTgyMjE1LCJyaWQiOiI3NjUyMjM0IiwiaWF0IjoxNzA2OTc3NDE1LCJjaWQiOiI1MjUifQ.lDLA2GR-heEUvuB6axbo2HOjZ2NWhWeqMT3p9sGQTjY
2012225,"OKR Goal Setting A-Z: How To Set, Track & Achieve Goals 2024",COURSE • 2 hrs 20 mins,"Welcome to OKR Goal Setting A-Z. In this course, you'll learn how to achieve goals with OKRs in a fun and engaging format.",https://img-c.udemycdn.com/course/480x270/2819869_f59b_4.jpg?cp_oauth_jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwIjoidXJsIiwicmFuZCI6ImVmN2M2YzgwNjdlOWQ0M2EzY2IyNTIwZDBmNDA2ZmZkIiwidiI6IjEiLCJvcmlnaW5hbFVybEhhc2giOiJmNjdhYmRjYjc0YmQwZGU4NjEyM2IzYzFmYmEzNzBmZjZmNGFmYjZhIiwiZXhwIjoxNzA3NTgyMjIwLCJyaWQiOiI3NjUyMjM0IiwiaWF0IjoxNzA2OTc3NDIwLCJjaWQiOiI1MjUifQ.q3Pj3v82mxxg_ItZfycGcJ72fSDDVtFzwBu4zUOFfd4
2012226,Excel Pivot Tables in a Nutshell,COURSE • 30 mins,Works with any Excel version!,https://img-c.udemycdn.com/course/480x270/447780_15cb_2.jpg?cp_oauth_jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwIjoidXJsIiwicmFuZCI6ImRlOTdjOWNhN2I4Nzc0NDQzYzEyNDcwYjhkNzliYjk2IiwidiI6IjEiLCJvcmlnaW5hbFVybEhhc2giOiJiN2RiNGE2MzE3YWI2YzMyZGMxYTA3MGIxOTI4YmE3ZGZjMzNlYTZhIiwiZXhwIjoxNzA3NTgyMjI0LCJyaWQiOiI3NjUyMjM0IiwiaWF0IjoxNzA2OTc3NDI0LCJjaWQiOiI1MjUifQ.-35vZ43U1pEfvFX7T61Z5yOvtGBKxcrZ3zUrWnPOf8k
2012227,These 5 Excel Tricks Will Save Your Job,COURSE • 32 mins,Supercharge Your Excel Skills and Stand Out in Your Workplace with Our Expert-Led Course,https://img-c.udemycdn.com/course/480x270/431806_423a_8.jpg?cp_oauth_jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwIjoidXJsIiwicmFuZCI6IjNhY2U3ZDkyYWE3NGE2ZGExNDRmMGM4MmUzMmIzMDg0IiwidiI6IjEiLCJvcmlnaW5hbFVybEhhc2giOiIzMTliOTBiZjZlYWFhOTI5ZDllMmZmZTg4OTc1MjlhODY5ZTg1M2FlIiwiZXhwIjoxNzA3NTgyMjI2LCJyaWQiOiI3NjUyMjM0IiwiaWF0IjoxNzA2OTc3NDI2LCJjaWQiOiI1MjUifQ.4DkUDbwGD1f9UoEdzmIlGwIEhfV0GlDWJFFJl19h6jk
2012228,Art History Prehistory to the Renaissance,COURSE • 22 hrs 11 mins,The history of art from Prehistory to the Early Renaissance,https://img-c.udemycdn.com/course/480x270/19112_d9e8_7.jpg?cp_oauth_jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwIjoidXJsIiwicmFuZCI6ImE1ZDBiODFjZWZlOTA2MTFiNDNjNGQ2NjVjZjBmNmI4IiwidiI6IjEiLCJvcmlnaW5hbFVybEhhc2giOiI3OWU4NmQ1OGYzNTI0MDMyZmIyNzFjZmNlZDZiMjlhZDkxYzgyMmVjIiwiZXhwIjoxNzA3NTgyMjMxLCJyaWQiOiI3NjUyMjM0IiwiaWF0IjoxNzA2OTc3NDMxLCJjaWQiOiI1MjUifQ.pyFDOTcg5iGCWawjlH4pOqBoeupY5hFR9_gH7oVs5vM
2012229,Complete Slovak Course: Learn Slovak Language | Beginners,COURSE • 5 hrs 16 mins,Online Slovak language course for foreigners:,https://img-b.udemycdn.com/course/480x270/4532958_d254_3.jpg?cp_oauth_jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwIjoidXJsIiwicmFuZCI6IjI3ZWU1Zjc3OGM1OWM2NTlmMDFkOWZiMGNjOTE2YTU3IiwidiI6IjEiLCJvcmlnaW5hbFVybEhhc2giOiIwZjI1ZTk2ODE1ZGNkNjU0MzNhODA0ZGRlOWFlNjdjMDAzMWExMTU3IiwiZXhwIjoxNzA3NTgyMjM0LCJyaWQiOiI3NjUyMjM0IiwiaWF0IjoxNzA2OTc3NDM0LCJjaWQiOiI1MjUifQ.I8NKM7o5ml_K8zZB4UaoexpkNZTgOFEJaQBA_7GqT4w
2012230,"Credit Education, Credit Reports and FICO Scoring",COURSE • 1 hr 54 mins,"We live in a time in which credit scoring, specifically FICO scoring, means everything.",https://img-c.udemycdn.com/course/480x270/1923562_8752_3.jpg?cp_oauth_jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwIjoidXJsIiwicmFuZCI6ImIxNjRhYTIxOTQ0ZDUzZWIyZTFiYmZlNTMxMTFjNzc2IiwidiI6IjEiLCJvcmlnaW5hbFVybEhhc2giOiI5NzNhZWYwMWFhN2NjNjRjOGNhMzE0ZDg1MjNlNGYyMGYxNTg2NDE1IiwiZXhwIjoxNzA3NTgyMjM2LCJyaWQiOiI3NjUyMjM0IiwiaWF0IjoxNzA2OTc3NDM2LCJjaWQiOiI1MjUifQ.3y593gK1RXj1as13qE6W7w5j93bEWSTtMpcYvpp4O6c
2012231,Taxonomy and Thesaurus Development Using SKOS,COURSE • 3 hrs 33 mins,We are all unwitting authors and users of them. They are a reflection of how the human mind makes sense of complexity and ...,https://img-c.udemycdn.com/course/480x270/4260504_198c_3.jpg?cp_oauth_jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwIjoidXJsIiwicmFuZCI6IjY4NThiOGFlZTgxOWQzYTQ2ZDVhN2IxOGVkYTI0NWI0IiwidiI6IjEiLCJvcmlnaW5hbFVybEhhc2giOiIyNTdhYWRiMzdmYTk1ZTQxNDgwMmY0MjljNjkwMGViYTRiMzAzODZlIiwiZXhwIjoxNzA3NTgyMjM5LCJyaWQiOiI3NjUyMjM0IiwiaWF0IjoxNzA2OTc3NDM5LCJjaWQiOiI1MjUifQ.qv9kAKxj9L23jWB_kwf3k8tuy8HeEm9cwVMsN0sIThU
